class;p;r;f1
test_rel;56.75455783;66.27155684;62.03767793
Performer;;;62.2491163
Notable work;83.84538653;88.51724138;86.11799911
Has part;81;80.92307692;80.96152019
Member of;81.8;77.05882353;79.35866104
Part of;64.9503386;78.47138047;71.07351334
Publication date;74.05307856;65.88888889;69.73283503
Record label;63.39440204;88.71331058;73.94664189
Award received;63.50505051;71.62686567;67.32188591
Located in;46.70491803;60.52631579;52.72487347
Instance of;84;88;85.95348837
Subclass of;62.2;81;70.36592179
Conflict;61;73;66.46268657
Participant;53;86.71428571;65.78936605
Location;90.6807611;68.84615385;78.26919528
Country;79.95238095;82;80.9632461
Country of citizenship;82;86.14313919;84.02052498
Military branch;58.30463576;68.14104882;62.8402471
Producer;48.36363636;65;55.46110666
Director;56;86;67.83098592
Original network;74.3125;80.33333333;77.20571198
Characters;48.17391304;78.41935484;59.68353996
Composer;46.26923077;60.66666667;52.49874116
Country of origin;67.83333333;65.38461538;66.58646906
Creator;54;82.70967742;65.34025484
Present in work;55.8974359;48.17647059;51.75055434
Narrative location;55.05494505;85;66.82620636
Cast member;49;70.66666667;57.8718663
Publisher;60.25242718;81.71428571;69.36110514
Operator;68.17647059;67.27586207;67.7231723
Manufacturer;48;62.30769231;54.22594142
Owned by;74.875;78.66666667;76.72401628
Parent organization;65;82;72.5170068
Subsidiary;45.9384;60.332;52.16044258
Capital;24.32432432;35.71428571;28.93890675
Follows;91.3;94.3;92.77575431
Date of birth;46.09876543;32.42342342;38.07025282
Date of death;85.8852459;99.53051643;92.20578413
Place of birth;78.99530516;89.18181818;83.78006238
Father;67.24324324;77.90625;72.18308245
Mother;51.34939759;58;54.47245483
Child;50;65;56.52173913
Spouse;55.69;60.52631579;58.0075268
Continent;65.2;82.87096774;72.98104658
Legislative body;70.63;64.66666667;67.51691345
Applies to jurisdiction;52.7037037;89.87878788;66.44497446
Contains adminstrative territorial entity;33.45679012;69.85714286;45.24454156
Official language;57.21153846;75.51002227;65.0993632
Start time;47.4646;60.58823529;53.22944734
Place of death;51;63.5;56.56768559
Parent taxon;65.88888889;82.57894737;73.29580904
Sibling;0;38;0
Religion;48.12765957;78.99173554;59.81286103
Inception;35.25;66.29411765;46.02664736
Mouth of the watercourse;46.02631579;54;49.69534333
Basin country;51.57142857;69.2173913;59.10546614
Head of government;56.52173913;50.16666667;53.15492766
Head of state;64.5;57.375;60.72923077
Chairperson;70.48484848;69.66666667;70.07336937
Educated at;45;41;42.90697674
Point in time;48.03846154;87.93103448;62.13263624
Work location;4;2;2.666666667
League;82.57894737;82;82.28845539
Developer;71.70588235;85.61538462;78.04573171
Platform;48.05194805;66.9122807;55.9350586
Employer;58.5;76.35714286;66.24629237
Contains location;41.26229508;68.23076923;51.42532363
Founded by;71;79;74.78666667
Ethnic group;55.42857143;65.33333333;59.97476341
Genre;14;13.66666667;13.8313253
Residence;40;53.85185185;45.90370955
End time;103;86;93.73544974
Languages spoken. written or signed;73.3;64;68.33503277
Screenwriter;51.21052632;58.23529412;54.49746825
Original language of work;51.93548387;67;58.51369677
Replaced by;50.3;62;55.54051647
Dissolved. abolished or demolished;72.23076923;73.34;72.78115852
Series;42.13793103;80.4;55.29536245
Production company;54.57575758;83.36363636;65.96568941
Artifact;54.48387097;62.11111111;58.04801721
Product or material produced;45;52;48.24742268
Lyrics by;64;53;57.98290598
Type of;44;57;49.66336634
Position held;0;2;0
Neighborhood;0;0;0
Works for;78.3;81.3;79.77180451
Usage;85.65400844;82.85483871;84.23117449
Live in;29.33333333;63.3;40.08924073
Evaluate for;74.79487179;84.1;79.17497458
Author;1;0;0
Related to;66.66666667;77.2;71.54772938
Hyponym of;11.33333333;19.123;14.23200429
Seperated from;50;17.32;25.7278669
Kill;0;0;0
Temporal;88.10638298;83.10638298;85.5333744
Conjunction;60.15702479;46.77456647;52.6283902
Ethnicity;59.439;76.394;66.85831817
Cause effect;52;52;52
Claimed by;2;0;0
Opposite;44.4;35.2;39.26834171
Shareholder of;45;52;48.24742268
Role;41.2;88.7;56.26543495
Origin;52.09160305;70.3;59.84135518
Used for;75.84210526;82.2;78.89316638
Topic;48.80645161;58.3;53.13248803
General affiliation;3;0;0
Sister city;27.9;46.2;34.7902834
Physical;79.3;85.2;82.14419453
Nationality;63.75609756;50.2;56.17173922
Place lived;87.70497427;85.37728938;86.52547997
Founded in;76.64233577;84.46979866;80.3659227
Profession;61.96296296;53;57.13208763
Compare;42.2;44.4;43.27205543
Feature of ;65;69;66.94029851
Industry;81.39;84.23;82.78565028
Social;4;0;0
Unemployment rate;30.43478261;41.4;35.08049873
Named;0;3;0
Influenced by;66;49;56.24347826
Win defeat;0;0;0
Organization based in;57.64661654;48.44720497;52.64806956
