class;p;r;f1
test_rel;48.47820452;55.80823673;50.3546008
Performer;65.84538653;84.51724138;74.02198943
Notable work;79;76.92307692;77.94770597
Has part;42.8;74.05882353;54.24866606
Member of;54.9503386;78.47138047;64.6375861
Part of;24.50530786;56.88888889;34.25501551
Publication date;63.39440204;85.71331058;72.88347431
Record label;50.50505051;72.62686567;59.57876126
Award received;41.70491803;59.52631579;49.04692015
Located in;80;84;81.95121951
Instance of;55.2;51.3;53.17859155
Subclass of;39;25.42857143;30.78492239
Conflict;51;83.71428571;63.38494168
Participant;84.6807611;62.84615385;72.14765037
Location;54.95238095;35.60606061;43.21270934
Country;60.83350676;81.14313919;69.53568559
Country of citizenship;54.30463576;64.14104882;58.81440605
Military branch;40.36363636;61;48.58116592
Producer;31.20512821;36.35294118;33.58290728
Director;68.3125;79.33333333;73.4115987
Original network;54.17391304;75.41935484;63.05515152
Characters;28.69230769;58.66666667;38.53712944
Composer;72.83333333;64.38461538;68.34887415
Country of origin;39.5;42.87096774;41.11650676
Creator;39.8974359;43.17647059;41.47223937
Present in work;43.05494505;81;56.22428913
Narrative location;50;63.66666667;56.01173021
Cast member;62.25242718;81.71428571;70.66789981
Publisher;37.17647059;47.27586207;41.62228894
Operator;46;44.30769231;45.13798978
Manufacturer;72.875;77.66666667;75.19457515
Owned by;36.03703704;23.77777778;28.65111799
Parent organization;10.70588235;24.72727273;14.94234832
Subsidiary;26.32432432;22.71428571;24.38642627
Capital;28.11392405;49.91666667;35.96931313
Follows;31.09876543;25.42342342;27.97616644
Date of birth;83.8852459;95.53051643;89.3299536
Date of death;78.99530516;90.18181818;84.21871831
Place of birth;66.24324324;74.90625;70.30890193
Father;33.34939759;66;44.30948339
Mother;51;68;58.28571429
Child;44.07142857;63.52631579;52.04004053
Spouse;42.06779661;86.87096774;56.685361
Continent;39.36363636;65.66666667;49.22158107
Legislative body;53.7037037;83.87878788;65.48219209
Applies to jurisdiction;23.45679012;66.85714286;34.7289486
Contains adminstrative territorial entity;58.21153846;81.51002227;67.91827649
Official language;24.21212121;24.58823529;24.39872886
Start time;33;59.5;42.45405405
Place of death;71.88888889;78.57894737;75.08519238
Parent taxon;31;36;33.31343284
Sibling;48.12765957;77.99173554;59.52390898
Religion;40.25;64.29411765;49.50710367
Inception;48.02631579;52;49.93422783
Mouth of the watercourse;52.57142857;69.2173913;59.75683395
Basin country;55.52173913;50.16666667;52.70853617
Head of government;47.5;60.375;53.16917729
Head of state;49.48484848;66.66666667;56.80493956
Chairperson;35;42;38.18181818
Educated at;53.03846154;83.93103448;65.00093924
Point in time;42.51162791;60.51612903;49.94070018
Work location;28.57894737;26;27.22854388
League;67.70588235;80.61538462;73.59882852
Developer;51.05194805;63.9122807;56.7628117
Platform;66.5;78.35714286;71.94329389
Employer;45.26229508;67.23076923;54.10144944
Contains location;70;80;74.66666667
Founded by;17.42857143;37.33333333;23.76347826
Ethnic group;17;20.66666667;18.65486726
Genre;41;47.85185185;44.16173406
Residence;102;24;38.85714286
End time;77.3;63;69.4212402
Languages spoken. written or signed;36.21052632;34.23529412;35.19521842
Screenwriter;39.93548387;65;49.47433139
Original language of work;30.57894737;59;40.28084606
Replaced by;68.23076923;32.33333333;43.87506374
Dissolved. abolished or demolished;25.13793103;37;29.93673696
Series;58.57575758;86.36363636;69.8059415
Production company;39.48387097;63.11111111;48.57685858
Artifact;40;57;47.01030928
Product or material produced;60;52;55.71428571
Lyrics by;12.11111111;3.882352941;5.879852881
Type of;0;0;0
Position held;54;26;35.1
Neighborhood;35.2;22.2;27.22787456
Works for;81.65400844;82.85483871;82.25004085
Usage;29.33333333;12.54;17.56917688
Live in;70.79487179;53.76;61.11254025
Evaluate for;3;1;1.5
Author;68.66666667;35.48275862;46.78821322
Related to;11.33333333;0;0
Hyponym of;53;16.32;24.95556838
Seperated from;0;1;0
Kill;85.10638298;82.10638298;83.57947116
Temporal;63.15702479;40.77456647;49.55567935
Conjunction;64.439;73.394;68.62559715
Ethnicity;47;51;48.91836735
Cause effect;20.6;83.3;33.03137632
Claimed by;40.2;37.2;38.64186047
Opposite;53;27;35.775
Shareholder of;35.2;82.7;49.38150975
Role;45.09160305;69.3;54.63422154
Origin;40.84210526;84.2;55.00395656
Used for;21.80645161;13.3;16.52265
Topic;17.28571429;3.702702703;6.098969831
General affiliation;18.9;20.3;19.575
Sister city;76.3;82.2;79.14018927
Physical;63.75609756;40.2;49.30918305
Nationality;80.70497427;90.37728938;85.26771459
Place lived;73.64233577;70.46979866;72.02114652
Founded in;62.96296296;53;57.55349729
Profession;29.2;40.4;33.89885057
Compare;23;0;0
Feature of ;78.39;83.23;80.73752877
Industry;0;0;0
Social;33.43478261;14.2;19.93391749
Unemployment rate;7;24.4;10.87898089
Named;69;48;56.61538462
Influenced by;0;0;0
Win defeat;57.64661654;52.44720497;54.9241342
Organization based in;86.95652174;71.64;78.5586613
