Class,tp,fp,fn,p,r,f1
"Works for",388,113,108,77.44510978043913,78.2258064516129,77.8335005015045
"Has part",0,0,211,0,0,0
"Usage",0,0,54,0,0,0
"Award received",0,0,45,0,0,0
"Characters",0,0,44,0,0,0
"Head of state",0,0,31,0,0,0
"Live in",16,7,82,69.56521739130434,16.3265306122449,26.44628099173554
"Educated at",0,1,71,0,0,0
"Military branch",0,0,34,0,0,0
"Child",18,20,57,47.36842105263158,24.0,31.858407079646014
"Product or material produced",0,0,4,0,0,0
"Date of death",1,3,115,25.0,0.8620689655172413,1.6666666666666665
"Evaluate for",0,0,31,0,0,0
"Production company",0,0,23,0,0,0
"Cast member",7,2,93,77.77777777777777,7.0,12.844036697247706
"Place of birth",74,31,269,70.47619047619048,21.574344023323615,33.035714285714285
"Author",0,0,29,0,0,0
"Founded by",23,8,83,74.19354838709677,21.69811320754717,33.57664233576642
"Participant",0,0,144,0,0,0
"Location",0,0,107,0,0,0
"Official language",0,0,13,0,0,0
"Director",1,0,32,100.0,3.0303030303030303,5.88235294117647
"Subsidiary",0,0,19,0,0,0
"Related to",0,1,145,0,0,0
"Hyponym of",0,0,42,0,0,0
"Producer",0,0,57,0,0,0
"Seperated from",0,0,1,0,0,0
"Country",10,5,673,66.66666666666667,1.4641288433382138,2.865329512893983
"Point in time",0,0,22,0,0,0
"Kill",29,9,18,76.3157894736842,61.702127659574465,68.23529411764706
"Applies to jurisdiction",0,0,30,0,0,0
"Conflict",0,0,49,0,0,0
"Place of death",65,54,115,54.621848739495796,36.111111111111114,43.478260869565226
"Type of",0,0,113,0,0,0
"Member of",4,1,177,80.0,2.2099447513812156,4.301075268817204
"Subclass of",0,0,14,0,0,0
"League",0,0,34,0,0,0
"Screenwriter",0,1,18,0,0,0
"Replaced by",0,0,5,0,0,0
"Parent organization",0,0,17,0,0,0
"Work location",0,0,21,0,0,0
"Country of origin",0,1,86,0,0,0
"Father",0,0,26,0,0,0
"Temporal",1,4,172,20.0,0.5780346820809249,1.1235955056179776
"Genre",0,0,17,0,0,0
"Platform",0,0,41,0,0,0
"Owned by",0,0,42,0,0,0
"Mother",0,0,8,0,0,0
"Chairperson",0,0,10,0,0,0
"Narrative location",0,0,13,0,0,0
"Record label",1,1,95,50.0,1.0416666666666667,2.0408163265306123
"Continent",0,0,61,0,0,0
"Conjunction",0,0,49,0,0,0
"Sibling",0,0,28,0,0,0
"Ethnicity",0,0,2,0,0,0
"Cause effect",0,0,15,0,0,0
"Start time",0,0,20,0,0,0
"Original network",0,0,10,0,0,0
"Claimed by",0,0,6,0,0,0
"Residence",0,0,8,0,0,0
"Ethnic group",0,0,14,0,0,0
"Opposite",3,7,61,30.0,4.6875,8.108108108108109
"Basin country",0,0,15,0,0,0
"Shareholder of",20,2,44,90.9090909090909,31.25,46.51162790697675
"Role",8,18,603,30.76923076923077,1.309328968903437,2.5117739403453685
"Origin",0,2,102,0,0,0
"Head of government",0,0,35,0,0,0
"Composer",0,0,18,0,0,0
"Located in",700,67,1520,91.26466753585397,31.53153153153153,46.86976899899565
"Used for",0,0,238,0,0,0
"Original language of work",0,0,8,0,0,0
"Contains location",3240,478,578,87.14362560516406,84.86118386589838,85.9872611464968
"Topic",0,0,37,0,0,0
"Languages spoken, written or signed",0,0,26,0,0,0
"Neighborhood",306,38,68,88.95348837209302,81.81818181818181,85.2367688022284
"Parent taxon",0,0,4,0,0,0
"General affiliation",0,4,113,0,0,0
"Employer",1,1,40,50.0,2.4390243902439024,4.651162790697675
"Part of",1,1,426,50.0,0.234192037470726,0.46620046620046623
"Sister city",0,0,0,0,0,0
"Physical",22,4,427,84.61538461538461,4.8997772828507795,9.263157894736842
"Nationality",445,94,101,82.56029684601113,81.5018315018315,82.02764976958525
"Place lived",399,171,197,70.0,66.94630872483222,68.43910806174956
"Publication date",3,1,155,75.0,1.8987341772151898,3.7037037037037037
"Founded in",16,11,18,59.25925925925926,47.05882352941177,52.459016393442624
"Profession",0,0,0,0,0,0
"Follows",1,0,34,100.0,2.857142857142857,5.555555555555555
"Capital",568,58,116,90.73482428115015,83.04093567251462,86.7175572519084
"Performer",2,0,71,100.0,2.73972602739726,5.333333333333334
"Series",0,0,20,0,0,0
"Publisher",0,0,28,0,0,0
"Compare",0,0,37,0,0,0
"Operator",0,0,18,0,0,0
"Religion",3,0,30,100.0,9.090909090909092,16.666666666666668
"Feature of ",0,0,0,0,0,0
"Industry",0,0,0,0,0,0
"Legislative body",0,0,25,0,0,0
"Contains adminstrative territorial entity",0,3,312,0,0,0
"Present in work",0,0,34,0,0,0
"Social",0,0,47,0,0,0
"Artifact",20,11,269,64.51612903225806,6.920415224913495,12.5
"Creator",0,0,10,0,0,0
"Manufacturer",0,0,9,0,0,0
"Unemployment rate",0,0,0,0,0,0
