Class,tp,fp,fn,p,r,f1
"Works for",406,68,90,85.65400843881856,81.85483870967742,83.71134020618557
"Has part",47,26,164,64.38356164383562,22.274881516587676,33.09859154929577
"Usage",1,2,53,33.333333333333336,1.8518518518518519,3.508771929824561
"Award received",15,7,30,68.18181818181819,33.333333333333336,44.776119402985074
"Characters",2,1,42,66.66666666666667,4.545454545454546,8.51063829787234
"Head of state",1,4,30,20.0,3.225806451612903,5.555555555555555
"Live in",28,11,70,71.7948717948718,28.571428571428573,40.87591240875913
"Educated at",27,14,44,65.85365853658537,38.028169014084504,48.214285714285715
"Military branch",5,10,29,33.333333333333336,14.705882352941176,20.408163265306122
"Child",39,42,36,48.148148148148145,52.0,49.99999999999999
"Product or material produced",0,0,4,0,0,0
"Date of death",47,20,69,70.14925373134328,40.51724137931034,51.36612021857923
"Evaluate for",0,1,31,0,0,0
"Production company",2,7,21,22.22222222222222,8.695652173913043,12.499999999999998
"Cast member",60,40,40,60.0,60.0,60.0
"Place of birth",143,50,200,74.09326424870466,41.690962099125365,53.35820895522388
"Author",10,5,19,66.66666666666667,34.48275862068966,45.45454545454546
"Founded by",50,16,56,75.75757575757575,47.16981132075472,58.13953488372093
"Participant",15,28,129,34.883720930232556,10.416666666666666,16.0427807486631
"Location",9,12,98,42.857142857142854,8.411214953271028,14.0625
"Official language",1,2,12,33.333333333333336,7.6923076923076925,12.499999999999998
"Director",17,11,16,60.714285714285715,51.515151515151516,55.73770491803279
"Subsidiary",1,1,18,50.0,5.2631578947368425,9.523809523809526
"Related to",1,11,144,8.333333333333334,0.6896551724137931,1.2738853503184713
"Hyponym of",4,4,38,50.0,9.523809523809524,16.0
"Producer",24,6,33,80.0,42.10526315789474,55.17241379310345
"Seperated from",0,0,1,0,0,0
"Country",256,239,427,51.717171717171716,37.48169838945827,43.4634974533107
"Point in time",0,3,22,0,0,0
"Kill",40,7,7,85.1063829787234,85.1063829787234,85.1063829787234
"Applies to jurisdiction",2,13,28,13.333333333333334,6.666666666666667,8.88888888888889
"Conflict",11,15,38,42.30769230769231,22.448979591836736,29.333333333333336
"Place of death",91,52,89,63.63636363636363,50.55555555555556,56.34674922600619
"Type of",21,20,92,51.21951219512195,18.58407079646018,27.272727272727273
"Member of",64,28,117,69.56521739130434,35.35911602209945,46.88644688644688
"Subclass of",0,0,14,0,0,0
"League",10,5,24,66.66666666666667,29.41176470588235,40.816326530612244
"Screenwriter",3,4,15,42.857142857142854,16.666666666666668,24.000000000000004
"Replaced by",0,0,5,0,0,0
"Parent organization",0,0,17,0,0,0
"Work location",0,1,21,0,0,0
"Country of origin",6,7,80,46.15384615384615,6.976744186046512,12.121212121212123
"Father",8,11,18,42.10526315789474,30.76923076923077,35.55555555555556
"Temporal",74,47,99,61.15702479338843,42.774566473988436,50.34013605442177
"Genre",2,1,15,66.66666666666667,11.764705882352942,20.0
"Platform",10,0,31,100.0,24.390243902439025,39.21568627450981
"Owned by",3,4,39,42.857142857142854,7.142857142857143,12.244897959183673
"Mother",2,3,6,40.0,25.0,30.76923076923077
"Chairperson",0,0,10,0,0,0
"Narrative location",1,2,12,33.333333333333336,7.6923076923076925,12.499999999999998
"Record label",42,16,54,72.41379310344827,43.75,54.54545454545455
"Continent",9,5,52,64.28571428571429,14.754098360655737,24.0
"Conjunction",0,5,49,0,0,0
"Sibling",15,11,13,57.69230769230769,53.57142857142857,55.55555555555556
"Ethnicity",1,1,1,50.0,50.0,50.0
"Cause effect",0,2,15,0,0,0
