"Step","Default - ReDocRED - BASELINE - No Constraints - macro_f1","Default - ReDocRED - BASELINE - No Constraints - macro_f1__MIN","Default - ReDocRED - BASELINE - No Constraints - macro_f1__MAX","REBEL - ReDocRED - BASELINE - No Constraints - macro_f1","REBEL - ReDocRED - BASELINE - No Constraints - macro_f1__MIN","REBEL - ReDocRED - BASELINE - No Constraints - macro_f1__MAX"
"0","0","0","0","0","0","0"
"50","0","0","0","0","0","0"
"150","6.866343428594763","6.866343428594763","6.866343428594763","19.807583963298413","19.807583963298413","19.807583963298413"
"250","12.564768826897664","12.564768826897664","12.564768826897664","25.291931660314052","25.291931660314052","25.291931660314052"
"350","18.178775917727457","18.178775917727457","18.178775917727457","30.683827282181543","30.683827282181543","30.683827282181543"
"449","22.400242552728557","22.400242552728557","22.400242552728557","31.70130758395482","31.70130758395482","31.70130758395482"
"549","24.09744088267867","24.09744088267867","24.09744088267867","35.743056200294006","35.743056200294006","35.743056200294006"
"649","26.33628286589286","26.33628286589286","26.33628286589286","34.05625099579132","34.05625099579132","34.05625099579132"
"749","27.808291214470476","27.808291214470476","27.808291214470476","32.670875489157666","32.670875489157666","32.670875489157666"
"849","17.45031387433513","17.45031387433513","17.45031387433513","31.235077489700803","31.235077489700803","31.235077489700803"
"949","15.188403775741872","15.188403775741872","15.188403775741872","34.6542928838093","34.6542928838093","34.6542928838093"
"1049","25.918911018389693","25.918911018389693","25.918911018389693","35.92811632053467","35.92811632053467","35.92811632053467"
"1149","29.367312129669735","29.367312129669735","29.367312129669735","34.20001344664556","34.20001344664556","34.20001344664556"
"1200","32.183813611815935","32.183813611815935","32.183813611815935","36.83507989430985","36.83507989430985","36.83507989430985"
"1300","27.550569365414233","27.550569365414233","27.550569365414233","38.17454801079805","38.17454801079805","38.17454801079805"
"1400","32.40670472285857","32.40670472285857","32.40670472285857","39.60455260070467","39.60455260070467","39.60455260070467"
"1500","34.2058915722381","34.2058915722381","34.2058915722381","37.60918790917375","37.60918790917375","37.60918790917375"
"1599","31.94959264426174","31.94959264426174","31.94959264426174","39.79764231104203","39.79764231104203","39.79764231104203"
"1699","33.21651461895347","33.21651461895347","33.21651461895347","38.80675504500412","38.80675504500412","38.80675504500412"
"1799","33.692755428543535","33.692755428543535","33.692755428543535","39.69705803273239","39.69705803273239","39.69705803273239"
"1899","34.261854794502014","34.261854794502014","34.261854794502014","39.56433043241713","39.56433043241713","39.56433043241713"
