"Step","1_Combined_RE_NoConstraint_0.1_30_5e-05_1_0.1 - macro_F1","1_Combined_RE_NoConstraint_0.1_30_5e-05_1_0.1 - macro_F1__MIN","1_Combined_RE_NoConstraint_0.1_30_5e-05_1_0.1 - macro_F1__MAX","1_Combined_RE_Constraint_0.1_30_5e-05_1_0.1 - macro_F1","1_Combined_RE_Constraint_0.1_30_5e-05_1_0.1 - macro_F1__MIN","1_Combined_RE_Constraint_0.1_30_5e-05_1_0.1 - macro_F1__MAX"
"15591","","","","71.12913883183141","71.12913883183141","71.12913883183141"
"15615","65.745445223006","65.745445223006","65.745445223006","","",""
"31182","","","","66.8626132078276","66.8626132078276","66.8626132078276"
"31230","64.90012508134058","64.90012508134058","64.90012508134058","","",""
"46773","","","","64.50919236507544","64.50919236507544","64.50919236507544"
"46845","67.41949308077704","67.41949308077704","67.41949308077704","","",""
"62364","","","","56.68546113187421","56.68546113187421","56.68546113187421"
"62460","65.16689510788076","65.16689510788076","65.16689510788076","","",""
"77955","","","","64.87443652457462","64.87443652457462","64.87443652457462"
"78075","64.44567837084028","64.44567837084028","64.44567837084028","","",""
"93546","","","","63.01077133759567","63.01077133759567","63.01077133759567"
"93690","59.50913601961604","59.50913601961604","59.50913601961604","","",""
"109137","","","","71.24198946437382","71.24198946437382","71.24198946437382"
"109305","61.505556845945655","61.505556845945655","61.505556845945655","","",""
"124728","","","","65.67625940311615","65.67625940311615","65.67625940311615"
"124920","58.61644264410221","58.61644264410221","58.61644264410221","","",""
"140319","","","","59.4377545211372","59.4377545211372","59.4377545211372"
"140535","64.25823109765399","64.25823109765399","64.25823109765399","","",""
"155910","","","","69.71737672089733","69.71737672089733","69.71737672089733"
"156150","63.44825158827583","63.44825158827583","63.44825158827583","","",""
"171501","","","","64.23761561643909","64.23761561643909","64.23761561643909"
"171765","65.48154252575611","65.48154252575611","65.48154252575611","","",""
"187092","","","","69.95138503703862","69.95138503703862","69.95138503703862"
"187380","65.79950045763492","65.79950045763492","65.79950045763492","","",""
"202683","","","","65.47011379513988","65.47011379513988","65.47011379513988"
"202995","64.05703787117635","64.05703787117635","64.05703787117635","","",""
"218274","","","","67.97743230376223","67.97743230376223","67.97743230376223"
"218610","66.89164660559364","66.89164660559364","66.89164660559364","","",""
"233865","","","","67.73705084132038","67.73705084132038","67.73705084132038"
"234225","66.25359331168337","66.25359331168337","66.25359331168337","","",""
"249456","","","","70.4476964899406","70.4476964899406","70.4476964899406"
"249840","64.65318857036848","64.65318857036848","64.65318857036848","","",""
"265047","","","","67.28155279515423","67.28155279515423","67.28155279515423"
"265455","71.35440136881894","71.35440136881894","71.35440136881894","","",""
"280638","","","","71.48229413723082","71.48229413723082","71.48229413723082"
"281070","69.44808213094944","69.44808213094944","69.44808213094944","","",""
"296229","","","","71.84432925791201","71.84432925791201","71.84432925791201"
"296685","73.02836976399013","73.02836976399013","73.02836976399013","","",""
"311820","","","","71.27070528989066","71.27070528989066","71.27070528989066"
"312300","71.30265819880557","71.30265819880557","71.30265819880557","","",""
"327411","","","","74.69798707620652","74.69798707620652","74.69798707620652"
"327915","70.16953231244726","70.16953231244726","70.16953231244726","","",""
"343002","","","","70.55558377249301","70.55558377249301","70.55558377249301"
"343530","73.31849558141153","73.31849558141153","73.31849558141153","","",""
"358593","","","","73.4905203389062","73.4905203389062","73.4905203389062"
"359145","71.60960746430464","71.60960746430464","71.60960746430464","","",""
"374184","","","","72.27212570127269","72.27212570127269","72.27212570127269"
"374760","74.1018616263222","74.1018616263222","74.1018616263222","","",""
"389775","","","","71.82899549354661","71.82899549354661","71.82899549354661"
"390375","74.33462499327788","74.33462499327788","74.33462499327788","","",""
"405366","","","","74.65918163441707","74.65918163441707","74.65918163441707"
"405990","73.34799773592941","73.34799773592941","73.34799773592941","","",""
"420957","","","","74.16723524589489","74.16723524589489","74.16723524589489"
"421605","75.22841206057684","75.22841206057684","75.22841206057684","","",""
"436548","","","","75.6928468487649","75.6928468487649","75.6928468487649"
"437220","77.34907448919796","77.34907448919796","77.34907448919796","","",""
"452139","","","","76.01324240570419","76.01324240570419","76.01324240570419"
"452835","76.1611556758068","76.1611556758068","76.1611556758068","","",""
"467730","","","","75.86169625683145","75.86169625683145","75.86169625683145"
"468450","77.19055518160444","77.19055518160444","77.19055518160444","","",""
